	e-PoI	EHVI	e-PoHVI-smoothing	e-PoHVI-scaling
ZDT1-0	212,7377367	224,5237644	214,3477088	211,2128629
ZDT1-1	224,2742065	224,5669101	204,3805088	199,4860224
ZDT1-2	219,1944918	224,5368007	217,1343588	215,46532
ZDT1-3	216,8917321	224,5394763	211,5987361	202,0700995
ZDT1-4	215,2800882	224,479138	210,5182037	213,1562462
ZDT1-5	212,144219	224,5613392	215,6134245	208,8150628
ZDT1-6	218,1598588	224,5385821	206,251641	214,9026094
ZDT1-7	210,5050228	224,5283176	209,9724404	208,2444899
ZDT1-8	213,4318993	224,5268692	222,586047	214,8547099
ZDT1-9	216,7196762	224,5398511	207,2126441	208,0348849
ZDT1-10	214,6821413	224,5899673	212,8977366	216,1279123
ZDT1-11	218,0297702	224,53728	210,4161286	214,5327726
ZDT1-12	220,2023471	224,4704017	206,2209775	209,3045146
ZDT1-13	215,3177769	224,5483947	209,9040211	217,1274637
ZDT1-14	215,732648	224,5424502	207,6442933	223,2270671
ZDT2-0	177,7147762	210	186,9909182	179,8916102
ZDT2-1	186,2342713	224	185,2681081	178,6761942
ZDT2-2	175,8381925	210	192,5063384	200,6024565
ZDT2-3	188,4468868	210	180,226349	189,9503123
ZDT2-4	187,6547596	224	181,6975206	192,8064671
ZDT2-5	186,7115683	210	179,8647905	195,2541412
ZDT2-6	177,6874772	210	183,7708452	222,0981394
ZDT2-7	182,7960375	210	191,5995508	184,7389926
ZDT2-8	184,3314887	210	202,3799405	180,2221124
ZDT2-9	190,2796297	210	189,0696092	180,6079039
ZDT2-10	173,5823712	224	187,7872518	179,0059599
ZDT2-11	196,6716264	224,1259868	192,6828069	176,8260302
ZDT2-12	186,039693	210	186,8567762	181,4148424
ZDT2-13	195,8038279	224	187,8709567	182,7247928
ZDT2-14	191,4800422	209,9999484	192,7762204	178,5430138
ZDT3-0	234,5129405	235,693091	220,543457	200,4640548
ZDT3-1	233,1311183	234,8738262	216,2883902	221,5723461
ZDT3-2	235,7420532	235,7660826	214,6491991	219,9930663
ZDT3-3	235,7538859	234,8738262	219,6060413	218,5617883
ZDT3-4	233,600161	235,6923774	217,4080122	212,9594207
ZDT3-5	233,3908746	235,8225852	222,4761151	204,7855248
ZDT3-6	230,5721152	235,7660826	216,6404513	201,389392
ZDT3-7	235,6766551	235,6923774	223,428595	209,9684171
ZDT3-8	233,0505931	235,8036066	219,5413169	216,346137
ZDT3-9	235,7098935	235,6316749	211,8745353	209,9260253
ZDT3-10	235,2570437	233,1612893	223,7548	221,062875
ZDT3-11	235,6672189	235,8036066	209,2984239	216,3529226
ZDT3-12	228,3820796	235,8211793	221,5175995	208,9282695
ZDT3-13	233,8880455	235,6316749	230,3837184	220,6244037
ZDT3-14	232,2953909	235,6899179	212,9032992	209,4650522
ZDT4-0	0	0	0	0
ZDT4-1	0	0	0	0
ZDT4-2	0	0	0	0
ZDT4-3	0	0	0	0
ZDT4-4	0	0	0	0
ZDT4-5	0	0	0	0
ZDT4-6	0	0	0	0
ZDT4-7	0	0	0	0
ZDT4-8	0	0	0	0
ZDT4-9	0	0	0	0
ZDT4-10	0	0	0	0
ZDT4-11	0	0	0	0
ZDT4-12	0	0	0	0
ZDT4-13	0	0	0	0
ZDT4-14	0	0	0	0
ZDT6-0	135,7444988	219,9491261	128,4503011	156,5192659
ZDT6-1	157,4331534	215,2703827	152,5430342	134,6924386
ZDT6-2	201,0025398	219,8136309	217,9598035	153,5702764
ZDT6-3	203,6826829	219,9891261	142,4258202	144,7894898
ZDT6-4	215,8928151	219,8336475	198,8409122	206,1060609
ZDT6-5	157,7307447	219,9522512	200,5672662	167,8351081
ZDT6-6	166,4622036	219,7960925	189,1155328	159,1949547
ZDT6-7	173,3619666	214,8512421	168,3901459	207,4095794
ZDT6-8	186,4269689	0	147,0968706	164,8308543
ZDT6-9	218,6301567	219,8376034	133,7487931	131,2559209
ZDT6-10	218,681701	219,7868766	208,5816352	147,9714637
ZDT6-11	140,6342572	219,8336475	135,7665093	216,509089
ZDT6-12	159,4850087	219,9771596	191,5238701	217,7365896
ZDT6-13	130,7111401	219,9127484	148,5367043	219,5620751
ZDT6-14	156,5600939	219,7946608	145,2122466	168,8525957
WOSGZ1-0	0,12754173	0,179413924	0,460062028	0,482878399
WOSGZ1-1	0,193988658	0	0	0,595074616
WOSGZ1-2	0,42475501	0	0,522935021	0,470144962
WOSGZ1-3	0,404773697	0,217527332	0,64400558	0,575319774
WOSGZ1-4	0,182556023	0	0,45347364	0,49823813
WOSGZ1-5	0,456266932	0,27813218	0,538971516	0,53268258
WOSGZ1-6	0,354273173	0,272270898	0,48118993	0,603492785
WOSGZ1-7	0,281551043	0,304603012	0,558984716	0,610202149
WOSGZ1-8	0,438617109	0	0,421349336	0,567226644
WOSGZ1-9	0,396644111	0	0	0,604025499
WOSGZ1-10	0,224221998	0	0,540873756	0,556789416
WOSGZ1-11	0,324610675	0,009079834	0,50124808	0,540020846
WOSGZ1-12	0,495118529	0	0,580507997	0,519952285
WOSGZ1-13	0,267706655	0	0,469638191	0,534752032
WOSGZ1-14	0,04692318	0,245516009	0,507148442	0,500075593
WOSGZ2-0	0,19020889	0,285524283	0,464395245	0,518085822
WOSGZ2-1	0	0,370995195	0,432572053	0,520358983
WOSGZ2-2	0,279607906	0,141820888	0,451965082	0,545982737
WOSGZ2-3	0	0,081585652	0,351718647	0,539585393
WOSGZ2-4	0	0	0,12104374	0,586157922
WOSGZ2-5	0,180015088	0,073782911	0,409228767	0,532384928
WOSGZ2-6	0,419683639	0	0,549305349	0,508788742
WOSGZ2-7	0,27489273	0	0,562708731	0,493754234
WOSGZ2-8	0,419744732	0,137503918	0,551634948	0,593048857
WOSGZ2-9	0,295207371	0,166211138	0,446677491	0,582152482
WOSGZ2-10	0,42660169	0	0,422493157	0,518541587
WOSGZ2-11	0	0,399634782	0,475250844	0,535646098
WOSGZ2-12	0,304126319	0,095694639	0,331145694	0,489006622
WOSGZ2-13	0,415425635	0,124148088	0,558358374	0,480426889
WOSGZ2-14	0,170337695	0	0,54468729	0,509245974
WOSGZ3-0	0,357771693	0	0,379481086	0,494391066
WOSGZ3-1	0,334986313	0	0,402784636	0,45312345
WOSGZ3-2	0,435740224	0	0,439915544	0,509893056
WOSGZ3-3	0,109066435	0	0,406317305	0,423820335
WOSGZ3-4	0,147272092	0,261397784	0,248603774	0,417799607
WOSGZ3-5	0,390369434	0,102833243	0	0,436006528
WOSGZ3-6	0,240676306	0,05367377	0,479116441	0,452307501
WOSGZ3-7	0,316786416	0	0,49516671	0,469904148
WOSGZ3-8	0,244952261	0	0,340180504	0,301625462
WOSGZ3-9	0,434417029	0,283861657	0,436253398	0,495501649
WOSGZ3-10	0,016274635	0,082746943	0,472634487	0,480853667
WOSGZ3-11	0,113071709	0,104786028	0,28183103	0,544072017
WOSGZ3-12	0,357402518	0	0,400792769	0,448153745
WOSGZ3-13	0,234157783	0,034905426	0,422878511	0,343016565
WOSGZ3-14	0,276744629	0,061952086	0,428685753	0,506807933
WOSGZ4-0	0,274399067	0	0,306578403	0,494653316
WOSGZ4-1	0,269239145	0	0,240444675	0,494788603
WOSGZ4-2	0,303871116	0	0,364896535	0,375983917
WOSGZ4-3	0,238664456	0	0,270646264	0,445419426
WOSGZ4-4	0	0	0,29452988	0,42858356
WOSGZ4-5	0,256071432	0	0,289657519	0,453521411
WOSGZ4-6	0,377202726	0,133128569	0,296876376	0,394156375
WOSGZ4-7	0,27029562	0	0,449365419	0,504239249
WOSGZ4-8	0	0	0,509220129	0,519938588
